title,price,link
"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ",16500,https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_10?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.plyEiYuMfFkZv_-JOMxUbGwHUhV-g97A7SVb-s0uISsqwGZ9wYW-dskMJK8hFkHxfb3DuTFdaxa2Of9Z5X9NVkrcEmMlt-iWfIJervcz5TfrRKA1ZqN5POe7JCepX0Z1vDsBGnLeZr9BDaJTwttWzWTdOzwu6zHftpUMxoAy3gSkp3f-fNzIcn7nI3mfSkwMkonXwSkZy3_ijircCI7WoXWEVEcNtqAu8hES25tAVhQ.CgtpMG4B8yf5-FoYdH0Z9uhT42U198vNj1n23Tu7jTc&dib_tag=se&keywords=laptop&qid=1730622280&sprefix=laptop%2Caps%2C464&sr=8-10
"(Refurbished) HP Workstation Zbook Intel Core i7-4810MQ Quad Core Processor , 4 GB Ram & 128 GB SSD, 15.6 Inches with Intel & Nvidia K2100M Dual Graphics with FHD Screen 1080p Laptop Computer  ",16990,https://amazon.in//sspa/click?ie=UTF8&spc=MToyNzg5ODMyOTI0ODE1MjI0OjE3MzA2MjIzMTA6c3BfYXRmX25leHQ6MzAwMzY1NDcyMjMzMzMyOjowOjo&url=%2FHP-Workstation-i7-4810MQ-Processor-Graphics%2Fdp%2FB0BKFY8HNW%2Fref%3Dsr_1_66_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622310%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-66-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Intel UHD Graphics/Win 11/MSO 21/Backlit KB/1 Yr ADP Free/Grey/1.6Kg), 83ER008DIN  ",18990,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODQ4MjMwNDMyNTMzMTk0OjE3MzA2MjIzMDQ6c3BfYnRmOjMwMDEwMzQ5ODU4NjEzMjo6MDo6&url=%2FLenovo-IdeaPad-i5-12450H-Warranty-83ER008DIN%2Fdp%2FB0CNVH114V%2Fref%3Dsr_1_70_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622304%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-70-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
(Refurbished) Lenovo ThinkPad P50 Intel Core i7-6820HQ Quad Core Processor Nvidia M1000M 4GB Graphic Laptop (16 GB DDR4 RAM/128 GB SSD/15.6" (39.62 cm) FHD (1080p)/Windows 10/WiFi/Bluetooth/Webcam)  ,18990,https://amazon.in//sspa/click?ie=UTF8&spc=MToyNzg5ODMyOTI0ODE1MjI0OjE3MzA2MjIzMTA6c3BfYXRmX25leHQ6MzAwMjYwODE4ODQwMjMyOjowOjo&url=%2FRefurbished-Lenovo-i7-6820HQ-Processor-Bluetooth%2Fdp%2FB0D9KPJHMN%2Fref%3Dsr_1_65_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.vIZsp_lxgLfJNF3T8EAe_2qNUxNecBfpaQtU0CNqB8TqEXa8Ph8NQ3VZ65Q4RUgyaz2wm-eiziPRgDkS8ysCNK4NQXdoLUZ0yiVc69GvguEBHfVUJxStHjkhE0LA6wNdJoNW8l6bgN_-niQXZXn4GGwZE7F68k_qbPwQ7eeCQnBGWL3obw6sOPHORQxgQe70zOqd8Qo3gBJqc4hOM_pRGjFfkb1HIcY1DtfBOTIJI8Y.yL65IHvnGRumw8t-7ELutwAoWpplwZxPtknPRhWfIOA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622310%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-65-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
"Acer Aspire Lite AMD Ryzen 7 5700U Premium Thin and Light Laptop (Windows 11 Home/16 GB RAM/1 TB SSD/MSO) AL15-41 with 39.62 cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.6 KG  ",19990,https://amazon.in//Acer-Premium-Windows-AL15-41-Display/dp/B0CWV1XCRP/ref=sr_1_66?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8&dib_tag=se&keywords=laptop&qid=1730622304&sprefix=laptop%2Caps%2C464&sr=8-66
"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4+512GB SSD/Intel UHD Graphics/15 Inch (38cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill Resistant KB/1.69kg  ",19990,https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_67?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8&dib_tag=se&keywords=laptop&qid=1730622304&sprefix=laptop%2Caps%2C464&sr=8-67
"MSI Modern 14, Intel 12th Gen. i5 1235U,36CM Laptop(16GB/512GB NVMe SSD/Windows 11 Home/Iris Xe/Classic Black/1.4Kg),C12MO-1203IN  ",19990,https://amazon.in//sspa/click?ie=UTF8&spc=MTo1ODQ4MjMwNDMyNTMzMTk0OjE3MzA2MjIzMDQ6c3BfYnRmOjMwMDI2MDU5ODA5OTkzMjo6MDo6&url=%2FMSI-Modern-Windows-Classic-C12MO-1203IN%2Fdp%2FB0D22M49ZQ%2Fref%3Dsr_1_69_sspa%3Fcrid%3D3KGG6TUG73VEH%26dib%3DeyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1730622304%26sprefix%3Dlaptop%252Caps%252C464%26sr%3D8-69-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
(Refurbished) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM|256 GB SSD|14" (35.6 cm) HD|Windows 11|WiFi|Bluetooth|Webcam|Intel HD Graphics)  ,21930,https://amazon.in//Refurbished-Lenovo-ThinkPad-Bluetooth-Graphics/dp/B0DHLWB5Q9/ref=sr_1_65?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8&dib_tag=se&keywords=laptop&qid=1730622304&sprefix=laptop%2Caps%2C464&sr=8-65
HP 15s AMD Ryzen 5 5500u (8GB DDR4 RAM/ 512 GB NVMe M.2 SSD/Windows 11 / MS Office'2021 / FHD 15.6" (39.6 cm) + Backlit Keyboard/Silver / 1.69 kg/Dual Speakers) eq2304AU / Laptop  ,21990,https://amazon.in//HP-15-6-inch-Graphics-Speakers-eq2304AU/dp/B0CY2P29D6/ref=sr_1_64?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8&dib_tag=se&keywords=laptop&qid=1730622304&sprefix=laptop%2Caps%2C464&sr=8-64
"HONOR MagicBook X14 Pro 2024, 13th Gen Intel Core i5-13420H (16GB/512GB NVMe SSD, 14-inch (35.56 cm) FHD IPS Anti-Glare Thin and Light Laptop/Windows 11/Backlit Keyboard/Fingerprint/1.4Kg), Gray  ",22890,https://amazon.in//MagicBook-i5-13420H-Anti-Glare-Keyboard-Fingerprint/dp/B0CXLN6D7W/ref=sr_1_63?crid=3KGG6TUG73VEH&dib=eyJ2IjoiMSJ9.Tm7Gwtw9bL15NQaJ7jkfw1_aFrk9L68BlJP6fBAjGQiai0-P0j4JWVvigU94nK0lWbabdWYCltADQT4wxi5METJ9lgyrQgw1jY0cCCB17VgDLx_8M5Hj3K7y4ow9g2zapPltQsa6B9Rd_gTV30GY8YRkm2KzZjzF3YeYgj89ujnTtUHHKRtOHCRuLmlPBnNbA7VIbalr-sMO-dzswINKM2qY4ko77x3WJvns4vg7RYc.IoJWj0vkxpL8LnxKH-BPIBNK3m3VlJpqZW9Re7MtLn8&dib_tag=se&keywords=laptop&qid=1730622304&sprefix=laptop%2Caps%2C464&sr=8-63
